season,pno,name,team,color,pos,war,owar,dwar,wrcplus,pa,hr,ops,sb,rbi,hit,run,iso,bbpct,kpct,sbrate,arch
1982,1046,이근식,O,#15326f,RF,0.1,0.54,-0.44,79.0,233,1,0.658,9,20,57,30,0.066,4.7,6.0,3.9,🧤 수비형·백업
1982,1043,손상대,삼,#0061aa,C,0.03,-0.06,0.08,30.4,22,0,0.497,1,2,4,1,0.0,4.5,22.7,4.5,🧤 수비형·백업
1982,1091,임신근,삼,#0061aa,IF,0.02,0.02,0.01,83.2,5,0,0.4,0,0,0,0,0.0,40.0,20.0,0.0,👁 출루형
1982,1078,송영운,M,#1552f8,RF,0.02,0.71,-0.69,87.6,302,1,0.652,15,28,69,37,0.061,8.9,8.9,5.0,🏃 호타준족
1982,1081,신태중,해,#ff0c00,P,0.01,0.01,0.0,90.9,3,0,0.666,0,0,1,0,0.0,0.0,33.3,0.0,🎰 스윙형(삼진↑)
1982,1040,박종호,O,#15326f,DH,0.01,0.13,-0.12,262.7,5,0,1.1,0,2,2,0,0.0,20.0,0.0,0.0,👁 출루형
1982,1114,계형철,O,#15326f,P,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,🧤 수비형·백업
1982,1125,노상수,롯,#888888,P,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,🧤 수비형·백업
1982,1038,박영진,삼,#0061aa,P,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,🧤 수비형·백업
1982,1131,이진우,롯,#888888,P,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,🧤 수비형·백업
1982,1113,강철원,O,#15326f,P,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,🧤 수비형·백업
1982,1124,김현홍,O,#15326f,P,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,🧤 수비형·백업
1982,1130,이광권,M,#1552f8,P,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,🧤 수비형·백업
1982,1111,하기룡,M,#1552f8,P,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,🧤 수비형·백업
1982,1122,김시철,M,#1552f8,P,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,🧤 수비형·백업
1982,1128,방기만,롯,#888888,P,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,🧤 수비형·백업
1982,1106,선우대영,O,#15326f,P,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,🧤 수비형·백업
1982,1134,최옥규,롯,#888888,P,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,🧤 수비형·백업
1982,1121,김문희,롯,#888888,P,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,🧤 수비형·백업
1982,1127,박석채,M,#1552f8,P,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,🧤 수비형·백업
1982,1105,박철순,O,#15326f,P,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,🧤 수비형·백업
1982,1133,차준섭,M,#1552f8,P,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,🧤 수비형·백업
1982,1116,이선희,삼,#0061aa,P,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,🧤 수비형·백업
1982,1126,박경호,삼미,#88b7e1,P,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,🧤 수비형·백업
1982,1132,인호봉,삼미,#88b7e1,P,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,🧤 수비형·백업
1982,1059,김용남,해,#ff0c00,P,-0.03,-0.03,0.0,-149.8,1,0,0.0,0,0,0,0,0.0,0.0,100.0,0.0,🎰 스윙형(삼진↑)
1982,1085,이상윤,해,#ff0c00,P,-0.03,-0.03,0.0,-149.8,1,0,0.0,0,0,0,1,0.0,0.0,100.0,0.0,🎰 스윙형(삼진↑)
1982,1057,김동철,삼미,#88b7e1,P,-0.03,-0.03,0.0,-160.5,1,0,0.0,0,0,0,0,0.0,0.0,100.0,0.0,🎰 스윙형(삼진↑)
1982,1071,박상열,O,#15326f,P,-0.03,-0.03,0.0,-161.2,1,0,0.0,0,0,0,0,0.0,0.0,100.0,0.0,🎰 스윙형(삼진↑)
1982,1054,구재서,O,#15326f,LF,-0.03,-0.03,0.0,88.5,3,0,0.666,1,0,1,10,0.0,0.0,0.0,33.3,🏃 호타준족
1982,1061,김일환,롯,#888888,1B,-0.04,0.23,-0.27,74.5,210,0,0.607,4,8,44,18,0.039,10.0,10.5,1.9,👁 출루형
1982,1090,이춘근,삼미,#88b7e1,LF,-0.07,-0.08,0.01,-165.0,3,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,🧤 수비형·백업
1982,1067,김진홍,O,#15326f,C,-0.08,-0.1,0.02,-13.2,5,0,0.4,0,1,1,2,0.0,0.0,0.0,0.0,🧤 수비형·백업
1982,1087,이윤섭,롯,#888888,P,-0.1,-0.03,-0.07,52.7,33,1,0.597,0,5,6,3,0.161,6.1,30.3,0.0,🎰 스윙형(삼진↑)
1982,1076,방수원,해,#ff0c00,P,-0.12,-0.13,0.01,-152.4,5,0,0.0,0,0,0,0,0.0,0.0,40.0,0.0,🧤 수비형·백업
1982,1082,엄태섭,롯,#888888,OF,-0.12,-0.45,0.32,19.4,99,0,0.464,2,6,19,8,0.032,4.0,11.1,2.0,🧤 수비형·백업
1982,1073,박재천,M,#1552f8,IF,-0.14,-0.16,0.02,-6.6,22,0,0.42,1,0,3,2,0.095,4.5,13.6,4.5,🧤 수비형·백업
1982,1102,허운,삼미,#88b7e1,2B,-0.14,-0.55,0.4,34.2,179,2,0.535,0,11,38,16,0.059,2.2,14.0,0.0,🧤 수비형·백업
1982,1010,김우근,해,#ff0c00,CF,-0.14,-0.17,0.03,45.0,166,4,0.583,11,18,27,14,0.119,7.8,9.6,6.6,🏃 호타준족
