name,team,pos,owar,dwar,war,pa,wrcplus,bbpct,kpct,iso,sb,cs,gdp
김태군,HT,C,1.09,0.15,1.24,163,112.7,6.7,12.9,0.157,0,0,7
허경민,KT,3B,1.64,-0.45,1.18,283,120.0,7.1,9.5,0.088,1,2,8
한동희,LT,3B,1.52,-0.34,1.18,323,119.8,7.7,16.1,0.204,1,0,17
김한별,NC,SS,0.69,0.44,1.13,126,96.5,11.9,19.8,0.07,3,0,5
조형우,SK,C,1.1,-0.02,1.08,315,84.6,7.3,17.8,0.136,0,0,5
오지환,LG,SS,1.5,-0.44,1.06,376,87.2,9.8,19.7,0.129,4,3,6
권동진,KT,2B,1.32,-0.26,1.06,211,104.9,10.9,26.1,0.115,1,1,2
김형준,NC,C,1.09,-0.04,1.05,302,85.4,8.9,31.5,0.17,0,0,10
김휘집,NC,SS,0.64,0.36,1.0,203,101.5,10.8,19.2,0.206,4,2,4
김현수,KT,DH,0.36,0.62,0.99,490,95.8,9.0,11.8,0.121,0,2,14
장성우,KT,C,0.89,0.09,0.98,231,106.0,18.6,25.1,0.216,1,0,8
최지훈,SK,CF,0.81,0.17,0.98,469,82.6,7.0,14.7,0.16,18,1,8
안재석,OB,3B,1.0,-0.04,0.96,330,95.1,6.7,16.7,0.153,4,0,4
안중열,NC,C,0.86,0.08,0.94,122,121.7,9.0,17.2,0.165,1,0,6
손성빈,LT,C,1.04,-0.14,0.9,297,79.0,7.1,17.5,0.125,0,0,3
전병우,SS,3B,1.06,-0.21,0.85,349,95.1,10.3,25.5,0.151,2,2,8
